title, price, image src
6-Piece Pre-Cut Activated Charcoal Replacement Filters Compatible with AmazonBasics Hooded Covered Cat Litter Box – Eliminate up to 99% of Odors to Keep Your Home Fresh,S$98.24,https://m.media-amazon.com/images/I/91D+HTmkHRL._AC_UL320_.jpg
8K HDMI Cable 3M HDMI 2.1 Cable 48Gbps Aluminum Case 8K@60Hz 4K@240Hz Support DynamicHDR HDCP eARC 3D Ethernet ARC Compatible with PS5/PS4 Xbox Series HDTV Projector,S$25.99,https://m.media-amazon.com/images/I/71AhyjBBYAL._AC_UL320_.jpg
SolidSuit Case Compatible with Magsafe for [iPhone 15] | Shock Absorbent Slim Design Protective Cover with Premium Matte Finish 3.5M / 11ft Drop Protection - Parakeet Green,S$59.90,https://m.media-amazon.com/images/I/61369INepPL._AC_UL320_.jpg
Black RGB Mouse pad Small with 4mm LED Excovip Soft Glowing Mouse Mat Gaming Non-Slip Rubber Base Mousepad for Laptop Computer Work PC Games 9386,S$12.99,https://m.media-amazon.com/images/I/71N7o2fzBvL._AC_UL320_.jpg
Extra Large Speed Type Extended Gaming Mouse Pad with Stitched Embroidery Edges.Non-Slip Rubber Base Mousepad Desk Mat Keyboard Pad for Laptop/Computer Office PC & Home (Black.1200x600x5mm),S$59.80,https://m.media-amazon.com/images/I/81cgUrQwztL._AC_UL320_.jpg
6 ft CAT6 Cable - Slim CAT6 Patch Cord - Gray - Snagless RJ45 Connectors - Gigabit Ethernet Cable - 28 AWG - LSZH (N6PAT6GSR) (N6PAT6GRS),S$39.10,https://m.media-amazon.com/images/I/7123Dw4mKxL._AC_UL320_.jpg
Tall Kitchen Handle-Tie® Trash Bags - 13 Gallon White Trash Bag - 50 Count (Package May Vary),S$27.42,https://m.media-amazon.com/images/I/71S38j-4joL._AC_UL320_.jpg
Heavy Duty Plastic Hangers 50 Pack with Non-Slip Design.0.2 Inches Thick.360°Swivel Hook Space Saving Organizer for Bedroom Closet.Shirts.Pants.Strong Enough for Coat (Grey- S Shaped),S$62.26,https://m.media-amazon.com/images/I/81UJIatsTvL._AC_UL320_.jpg
Laundry Detergent Sheet (65 Sheets).Fresh Linen Scent.Powerful Clean & Zero Waste.CLEARALIF Liquid-less Detergent Strips Eco Friendly & Hypoallergenic & Plastic Free,S$61.24,https://m.media-amazon.com/images/I/71yNk8wDo0L._AC_UL320_.jpg
Womens Short Sleeve Summer T Shirts Scoop Neck Casual Stretch Tee Tops,S$35.69,https://m.media-amazon.com/images/I/61ITPXMcXhL._AC_UL320_.jpg
Hair Growth Supplements for Women. Clinically Proven Hair Growth Product with Proprietary Collagen Complex. Results of Thicker. Fuller Hair Nourish Hair Loss. 180 Tablets - 3 Month Supply,S$101.16,https://m.media-amazon.com/images/I/718IzDIWrNL._AC_UL320_.jpg
Notebook: Amazon basic 100 pages Anime cover notebook,S$17.76,https://m.media-amazon.com/images/I/71ChzY91kBL._AC_UL320_.jpg
Mach3 Men’s Razor Blade Refills. 15 Count (Packaging May Vary). Mens Razors/Blades,S$44.93,https://m.media-amazon.com/images/I/91QhJMV6LHL._AC_UL320_.jpg
Cleaning & Disinfecting Solution with Lens Case. Twin Pack. 12 Fl Oz,Null,https://m.media-amazon.com/images/I/81qnbSE6StL._AC_UL320_.jpg
CopperTop AAA Alkaline Batteries - Long Lasting. All-Purpose Triple A Battery for Household and Business - 24 Count,S$28.75,https://m.media-amazon.com/images/I/51R2z-FyyLL._AC_UL320_.jpg
100 Pack Magic Sponge Eraser Extra Thick and Long Lasting Melamine Cleaning Sponges in Bulk - Multi Surface Power Scrubber Foam Cleaning Pads - Bathtub. Floor. Baseboard. Bathroom. Wall Cleaner,S$68.66,https://m.media-amazon.com/images/I/41XsQVVt12L._AC_UL320_.jpg
Invisible Solid Antiperspirant Deodorant Stick for Women. Original Clean. For All Day Underarm Sweat and Odor Protection 2.6 Ounce (Pack of 6),S$34.65,https://m.media-amazon.com/images/I/71rngzFFsCL._AC_UL320_.jpg
Razors for Women Shaving.6-Blade Includes 2 Handles and 19 Refills.Value Shaver Pack. Non-Slip Travel Carry.Pink,S$32.59,https://m.media-amazon.com/images/I/71nMx5Yv1UL._AC_UL320_.jpg
Puppy Pads Leak-Proof 100 Count 22"x 22" | Pee Pads for Dogs Quick Absorb 6-Layer- Dog Pee Pads- Dog Pads 100 Pack- Potty Pads for Dogs- Puppy Pee Pads. Pee Pad Training Pads for Dogs. Pet Pee Pads,S$38.59,https://m.media-amazon.com/images/I/51D5dkiRAaL._AC_UL320_.jpg
Authentics Men's Classic 5-Pocket Regular Fit Cotton Jean,S$42.36,https://m.media-amazon.com/images/I/714jyA35z4L._AC_UL320_.jpg
Bath Towels. White. 25 x 50 Inches Towels for Pool. Spa. and Gym Lightweight and Highly Absorbent Quick Drying Towels,S$153.00,https://m.media-amazon.com/images/I/81bPx1nEO8L._AC_UL320_.jpg
Compatible Swiffer Unscented Dusters Refills (32 Pack),S$35.93,https://m.media-amazon.com/images/I/81Ep+xuMgxL._AC_UL320_.jpg
Slider & Double Zipper Storage Bags. Multi-Variety Pack. 4 Sizes & 2 Styles. 270 Count (Includes 2 Gallon Bags),S$56.05,https://m.media-amazon.com/images/I/61N2+x3qO2L._AC_UL320_.jpg
Allmax AAA Maximum Power Alkaline Batteries (100 Count Bulk Pack) – Ultra Long-Lasting Triple A Battery. 10-Year Shelf Life. Leak-Proof. Device Compatible – Powered by EnergyCircle Technology(1.5V),S$75.46,https://m.media-amazon.com/images/I/9150cd+9HNL._AC_UL320_.jpg
Weatherproof Hard Case - With Customizable Foam. 7 x 6 x 2 Inch. Black - Pure Outdoor Collection,S$40.08,https://m.media-amazon.com/images/I/51ByCUYg77L._AC_UL320_.jpg
Vibe Series Ultra-Whitening Toothbrush – ADA Accepted Power Toothbrush - 8 Brush Heads & Travel Case – 40.000 VPM Motor & Wireless Charging - 4 Modes w Smart Timer – Charcoal Metallic,S$50.34,https://m.media-amazon.com/images/I/71eH-aOrQdL._AC_UL320_.jpg
79185 Shop Towels 14”x12”. Blue. 100 Pack,S$51.88,https://m.media-amazon.com/images/I/71c6ngWHCrL._AC_UL320_.jpg
Sonic Electric Toothbrush with 6 Brush Heads for Adults and Kids. One Charge for 90 Days. Wireless Fast Charge. 5 Modes with 2 Minutes Built in Smart Timer. Electric Toothbrushes(Pink),S$62.27,https://m.media-amazon.com/images/I/71C7JbpniNL._AC_UL320_.jpg
Queen Size Sheet Set - Breathable & Cooling Sheets - Hotel Luxury Bed Sheets - Extra Soft - Deep Pockets - Easy Fit - 4 Piece Set - Wrinkle Free - Comfy - Black Bed Sheets - Queens Sheets – 4 PC,S$117.96,https://m.media-amazon.com/images/I/714DFuRtyTL._AC_UL320_.jpg
Essentia Bottled Water LLC. Ionized Alkaline Water; 99.9% Pure. Infused with Electrolytes. 9.5 pH or Higher a Clean. Smooth Taste. 20 Fl Oz (Pack of 24),Null,https://m.media-amazon.com/images/I/71ZpEiMmBlL._AC_UL320_.jpg
Men's Short Sleeve Work Shirt,S$42.96,https://m.media-amazon.com/images/I/917fraOTB0L._AC_UL320_.jpg
Ultimate Cast Iron Set: Seasoning Oil. Cleaning Soap & Restoring Scrub | 100% Plant-Based & Best for Cleaning Care. Washing. Restoring & Seasoning Cast Iron Skillets. Pans & Grills!,S$138.74,https://m.media-amazon.com/images/I/61xWKe2YOvL._AC_UL320_.jpg
Amazon Basic Daily Planner/Journal: Hardcover. 5” by 8”,S$28.68,https://m.media-amazon.com/images/I/71N54y1ivBL._AC_UL320_.jpg
Parchment Paper Sheets. 9x13 In Non-Stick Precut Baking Parchment for Baking. Grilling. Air Fryer. Steaming. and More (Unbleached) - Quarter Sheet Size. Perfect for Bread. Cakes. Cookies. 120PCS,S$24.27,https://m.media-amazon.com/images/I/71WIt7mtg8L._AC_UL320_.jpg
XXL Gaming Mouse Pad,S$21.98,https://m.media-amazon.com/images/I/91i28CF0MOL._AC_UL320_.jpg
DisplayPort to DVI Cable - 6 Feet. 10-Pack,S$139.67,https://m.media-amazon.com/images/I/61J7waQWa9L._AC_UL320_.jpg
Activated Carbon Charcoal Filters Replacement Filter Compatible with AmazonBasics Hooded Covered Cat Litter Box,S$21.44,https://m.media-amazon.com/images/I/810B4ooQQOL._AC_UL320_.jpg
AmazonBasics High Borosilicate Glass Food Containers - Premium Kitchen Storage with Lunch Boxes. Airtight Seal. 1pcs - 4cup. Leakage-Proof Technology (Light Green),S$22.82,https://m.media-amazon.com/images/I/71rASFB8w3L._AC_UL320_.jpg
Pressure Pot Gasket.Amazon Basic Pot Sealing Ring.Wmf Sealing Ring 24 Cm Replacement Clear Silicone Gasket Sealing Ring For Home Pressure Cooker Kitchen Tool Inner Diameter,S$24.57,https://m.media-amazon.com/images/I/41uEtyx8+gL._AC_UL320_.jpg
Travel Case fits AmazonBasics Wireless Mouse Nano Receiver MGR0975,S$106.00,https://m.media-amazon.com/images/I/61JN-y86+FL._AC_UL320_.jpg
.Pressure Pot Gasket.Amazon Basic Pot Sealing Ring.Wmf Sealing Ring 24 Cm Replacement Clear Silicone Gasket Sealing Ring For Home Pressure Cooker Kitchen Tool Inner Diameter,S$18.76,https://m.media-amazon.com/images/I/51D9NgsSD+S._AC_UL320_.jpg
Amazon Basic Classic Notebook: Classic Notebook,S$14.36,https://m.media-amazon.com/images/I/71sLeg84ITL._AC_UL320_.jpg
(DKKPIA) AC/DC Adapter Charger for AmazonBasics Large BTV3 2 Bluetooth Speaker Power Supply Cord Cable,S$19.47,https://m.media-amazon.com/images/I/61PjNdMgaOL._AC_UL320_.jpg
Men's Essentials T-shirt Pack. Crewneck Cotton T-shirts for Men. 4 Or 6 Pack Available,S$33.47,https://m.media-amazon.com/images/I/81M-7VvFZ0L._AC_UL320_.jpg
Women's Convertible Seamless Wire Free Bra,S$26.63,https://m.media-amazon.com/images/I/81Vxdu3zj8L._AC_UL320_.jpg
8 Set Packing Cubes Luggage Packing Organizers for Travel Accessories-Cream,S$38.61,https://m.media-amazon.com/images/I/61YFsLeZgOL._AC_UL320_.jpg
Women's Summer Short Sleeve V Neck T Shirts Pocket Solid Loose Casual Tee Tops,S$37.50,https://m.media-amazon.com/images/I/71GHaq4An9S._AC_UL320_.jpg
Indoor Camera. Cameras for Home Security with Night Vision. Pet Camera with Phone App. 2K Indoor Security Camera. Motion Detection. 2-Way Audio. WiFi Camera Home Camera Compatible with Alexa,S$82.89,https://m.media-amazon.com/images/I/61E7II5XyjL._AC_UL320_.jpg
Kitchen Storage Rack Multifunction Portable Season AmazonBasics Plastic Drying Rack with Mat. Black kitchen and bathroom storage rack， (Color : Black. Size : 2 Mats),S$87.03,https://m.media-amazon.com/images/I/71LQ5v14KkL._AC_UL320_.jpg
Daily Electrolyte Drink Mix – Original Variety. 20 Stickpacks – Hydration Packets with 6 Electrolytes & Minerals – Keto Friendly. Vegan. Non- GMO & Sugar-Free Electrolyte Powder,S$66.64,https://m.media-amazon.com/images/I/61TIvkcGbNL._AC_UL320_.jpg
Men's Crew T-Shirt Multipack,S$29.26,https://m.media-amazon.com/images/I/710o0VupScL._AC_UL320_.jpg
Power Sheets Laundry Detergent. Fresh Linen 50ct. up to 100 Small Loads (Packaging may vary),S$28.13,https://m.media-amazon.com/images/I/81CNVgMyipL._AC_UL320_.jpg
6-Piece Pre-Cut Activated Charcoal Replacement Filters Compatible with AmazonBasics Hooded Covered Cat Litter Box – Eliminate up to 99% of Odors to Keep Your Home Fresh,S$98.24,https://m.media-amazon.com/images/I/91D+HTmkHRL._AC_UL320_.jpg
8K HDMI Cable 3M HDMI 2.1 Cable 48Gbps Aluminum Case 8K@60Hz 4K@240Hz Support DynamicHDR HDCP eARC 3D Ethernet ARC Compatible with PS5/PS4 Xbox Series HDTV Projector,S$25.99,https://m.media-amazon.com/images/I/71AhyjBBYAL._AC_UL320_.jpg
SolidSuit Case Compatible with Magsafe for [iPhone 15] | Shock Absorbent Slim Design Protective Cover with Premium Matte Finish 3.5M / 11ft Drop Protection - Parakeet Green,S$59.90,https://m.media-amazon.com/images/I/61369INepPL._AC_UL320_.jpg
Black RGB Mouse pad Small with 4mm LED Excovip Soft Glowing Mouse Mat Gaming Non-Slip Rubber Base Mousepad for Laptop Computer Work PC Games 9386,S$12.99,https://m.media-amazon.com/images/I/71N7o2fzBvL._AC_UL320_.jpg
Extra Large Speed Type Extended Gaming Mouse Pad with Stitched Embroidery Edges.Non-Slip Rubber Base Mousepad Desk Mat Keyboard Pad for Laptop/Computer Office PC & Home (Black.1200x600x5mm),S$59.80,https://m.media-amazon.com/images/I/81cgUrQwztL._AC_UL320_.jpg
6 ft CAT6 Cable - Slim CAT6 Patch Cord - Gray - Snagless RJ45 Connectors - Gigabit Ethernet Cable - 28 AWG - LSZH (N6PAT6GSR) (N6PAT6GRS),S$39.10,https://m.media-amazon.com/images/I/7123Dw4mKxL._AC_UL320_.jpg
Tall Kitchen Handle-Tie® Trash Bags - 13 Gallon White Trash Bag - 50 Count (Package May Vary),S$27.42,https://m.media-amazon.com/images/I/71S38j-4joL._AC_UL320_.jpg
Heavy Duty Plastic Hangers 50 Pack with Non-Slip Design.0.2 Inches Thick.360°Swivel Hook Space Saving Organizer for Bedroom Closet.Shirts.Pants.Strong Enough for Coat (Grey- S Shaped),S$62.26,https://m.media-amazon.com/images/I/81UJIatsTvL._AC_UL320_.jpg
Laundry Detergent Sheet (65 Sheets).Fresh Linen Scent.Powerful Clean & Zero Waste.CLEARALIF Liquid-less Detergent Strips Eco Friendly & Hypoallergenic & Plastic Free,S$61.24,https://m.media-amazon.com/images/I/71yNk8wDo0L._AC_UL320_.jpg
Womens Short Sleeve Summer T Shirts Scoop Neck Casual Stretch Tee Tops,S$35.69,https://m.media-amazon.com/images/I/61ITPXMcXhL._AC_UL320_.jpg
Hair Growth Supplements for Women. Clinically Proven Hair Growth Product with Proprietary Collagen Complex. Results of Thicker. Fuller Hair Nourish Hair Loss. 180 Tablets - 3 Month Supply,S$101.16,https://m.media-amazon.com/images/I/718IzDIWrNL._AC_UL320_.jpg
Notebook: Amazon basic 100 pages Anime cover notebook,S$17.76,https://m.media-amazon.com/images/I/71ChzY91kBL._AC_UL320_.jpg
Mach3 Men’s Razor Blade Refills. 15 Count (Packaging May Vary). Mens Razors/Blades,S$44.93,https://m.media-amazon.com/images/I/91QhJMV6LHL._AC_UL320_.jpg
Cleaning & Disinfecting Solution with Lens Case. Twin Pack. 12 Fl Oz,Null,https://m.media-amazon.com/images/I/81qnbSE6StL._AC_UL320_.jpg
CopperTop AAA Alkaline Batteries - Long Lasting. All-Purpose Triple A Battery for Household and Business - 24 Count,S$28.75,https://m.media-amazon.com/images/I/51R2z-FyyLL._AC_UL320_.jpg
100 Pack Magic Sponge Eraser Extra Thick and Long Lasting Melamine Cleaning Sponges in Bulk - Multi Surface Power Scrubber Foam Cleaning Pads - Bathtub. Floor. Baseboard. Bathroom. Wall Cleaner,S$68.66,https://m.media-amazon.com/images/I/41XsQVVt12L._AC_UL320_.jpg
Invisible Solid Antiperspirant Deodorant Stick for Women. Original Clean. For All Day Underarm Sweat and Odor Protection 2.6 Ounce (Pack of 6),S$34.65,https://m.media-amazon.com/images/I/71rngzFFsCL._AC_UL320_.jpg
Razors for Women Shaving.6-Blade Includes 2 Handles and 19 Refills.Value Shaver Pack. Non-Slip Travel Carry.Pink,S$32.59,https://m.media-amazon.com/images/I/71nMx5Yv1UL._AC_UL320_.jpg
Puppy Pads Leak-Proof 100 Count 22"x 22" | Pee Pads for Dogs Quick Absorb 6-Layer- Dog Pee Pads- Dog Pads 100 Pack- Potty Pads for Dogs- Puppy Pee Pads. Pee Pad Training Pads for Dogs. Pet Pee Pads,S$38.59,https://m.media-amazon.com/images/I/51D5dkiRAaL._AC_UL320_.jpg
Authentics Men's Classic 5-Pocket Regular Fit Cotton Jean,S$42.36,https://m.media-amazon.com/images/I/714jyA35z4L._AC_UL320_.jpg
Bath Towels. White. 25 x 50 Inches Towels for Pool. Spa. and Gym Lightweight and Highly Absorbent Quick Drying Towels,S$153.00,https://m.media-amazon.com/images/I/81bPx1nEO8L._AC_UL320_.jpg
Compatible Swiffer Unscented Dusters Refills (32 Pack),S$35.93,https://m.media-amazon.com/images/I/81Ep+xuMgxL._AC_UL320_.jpg
Slider & Double Zipper Storage Bags. Multi-Variety Pack. 4 Sizes & 2 Styles. 270 Count (Includes 2 Gallon Bags),S$56.05,https://m.media-amazon.com/images/I/61N2+x3qO2L._AC_UL320_.jpg
Allmax AAA Maximum Power Alkaline Batteries (100 Count Bulk Pack) – Ultra Long-Lasting Triple A Battery. 10-Year Shelf Life. Leak-Proof. Device Compatible – Powered by EnergyCircle Technology(1.5V),S$75.46,https://m.media-amazon.com/images/I/9150cd+9HNL._AC_UL320_.jpg
Weatherproof Hard Case - With Customizable Foam. 7 x 6 x 2 Inch. Black - Pure Outdoor Collection,S$40.08,https://m.media-amazon.com/images/I/51ByCUYg77L._AC_UL320_.jpg
Vibe Series Ultra-Whitening Toothbrush – ADA Accepted Power Toothbrush - 8 Brush Heads & Travel Case – 40.000 VPM Motor & Wireless Charging - 4 Modes w Smart Timer – Charcoal Metallic,S$50.34,https://m.media-amazon.com/images/I/71eH-aOrQdL._AC_UL320_.jpg
79185 Shop Towels 14”x12”. Blue. 100 Pack,S$51.88,https://m.media-amazon.com/images/I/71c6ngWHCrL._AC_UL320_.jpg
Sonic Electric Toothbrush with 6 Brush Heads for Adults and Kids. One Charge for 90 Days. Wireless Fast Charge. 5 Modes with 2 Minutes Built in Smart Timer. Electric Toothbrushes(Pink),S$62.27,https://m.media-amazon.com/images/I/71C7JbpniNL._AC_UL320_.jpg
Queen Size Sheet Set - Breathable & Cooling Sheets - Hotel Luxury Bed Sheets - Extra Soft - Deep Pockets - Easy Fit - 4 Piece Set - Wrinkle Free - Comfy - Black Bed Sheets - Queens Sheets – 4 PC,S$117.96,https://m.media-amazon.com/images/I/714DFuRtyTL._AC_UL320_.jpg
Essentia Bottled Water LLC. Ionized Alkaline Water; 99.9% Pure. Infused with Electrolytes. 9.5 pH or Higher a Clean. Smooth Taste. 20 Fl Oz (Pack of 24),Null,https://m.media-amazon.com/images/I/71ZpEiMmBlL._AC_UL320_.jpg
Men's Short Sleeve Work Shirt,S$42.96,https://m.media-amazon.com/images/I/917fraOTB0L._AC_UL320_.jpg
Ultimate Cast Iron Set: Seasoning Oil. Cleaning Soap & Restoring Scrub | 100% Plant-Based & Best for Cleaning Care. Washing. Restoring & Seasoning Cast Iron Skillets. Pans & Grills!,S$138.74,https://m.media-amazon.com/images/I/61xWKe2YOvL._AC_UL320_.jpg
Amazon Basic Daily Planner/Journal: Hardcover. 5” by 8”,S$28.68,https://m.media-amazon.com/images/I/71N54y1ivBL._AC_UL320_.jpg
Parchment Paper Sheets. 9x13 In Non-Stick Precut Baking Parchment for Baking. Grilling. Air Fryer. Steaming. and More (Unbleached) - Quarter Sheet Size. Perfect for Bread. Cakes. Cookies. 120PCS,S$24.27,https://m.media-amazon.com/images/I/71WIt7mtg8L._AC_UL320_.jpg
XXL Gaming Mouse Pad,S$21.98,https://m.media-amazon.com/images/I/91i28CF0MOL._AC_UL320_.jpg
DisplayPort to DVI Cable - 6 Feet. 10-Pack,S$139.67,https://m.media-amazon.com/images/I/61J7waQWa9L._AC_UL320_.jpg
Activated Carbon Charcoal Filters Replacement Filter Compatible with AmazonBasics Hooded Covered Cat Litter Box,S$21.44,https://m.media-amazon.com/images/I/810B4ooQQOL._AC_UL320_.jpg
AmazonBasics High Borosilicate Glass Food Containers - Premium Kitchen Storage with Lunch Boxes. Airtight Seal. 1pcs - 4cup. Leakage-Proof Technology (Light Green),S$22.82,https://m.media-amazon.com/images/I/71rASFB8w3L._AC_UL320_.jpg
Pressure Pot Gasket.Amazon Basic Pot Sealing Ring.Wmf Sealing Ring 24 Cm Replacement Clear Silicone Gasket Sealing Ring For Home Pressure Cooker Kitchen Tool Inner Diameter,S$24.57,https://m.media-amazon.com/images/I/41uEtyx8+gL._AC_UL320_.jpg
Travel Case fits AmazonBasics Wireless Mouse Nano Receiver MGR0975,S$106.00,https://m.media-amazon.com/images/I/61JN-y86+FL._AC_UL320_.jpg
.Pressure Pot Gasket.Amazon Basic Pot Sealing Ring.Wmf Sealing Ring 24 Cm Replacement Clear Silicone Gasket Sealing Ring For Home Pressure Cooker Kitchen Tool Inner Diameter,S$18.76,https://m.media-amazon.com/images/I/51D9NgsSD+S._AC_UL320_.jpg
Amazon Basic Classic Notebook: Classic Notebook,S$14.36,https://m.media-amazon.com/images/I/71sLeg84ITL._AC_UL320_.jpg
(DKKPIA) AC/DC Adapter Charger for AmazonBasics Large BTV3 2 Bluetooth Speaker Power Supply Cord Cable,S$19.47,https://m.media-amazon.com/images/I/61PjNdMgaOL._AC_UL320_.jpg
Men's Essentials T-shirt Pack. Crewneck Cotton T-shirts for Men. 4 Or 6 Pack Available,S$33.47,https://m.media-amazon.com/images/I/81M-7VvFZ0L._AC_UL320_.jpg
Women's Convertible Seamless Wire Free Bra,S$26.63,https://m.media-amazon.com/images/I/81Vxdu3zj8L._AC_UL320_.jpg
8 Set Packing Cubes Luggage Packing Organizers for Travel Accessories-Cream,S$38.61,https://m.media-amazon.com/images/I/61YFsLeZgOL._AC_UL320_.jpg
Women's Summer Short Sleeve V Neck T Shirts Pocket Solid Loose Casual Tee Tops,S$37.50,https://m.media-amazon.com/images/I/71GHaq4An9S._AC_UL320_.jpg
Indoor Camera. Cameras for Home Security with Night Vision. Pet Camera with Phone App. 2K Indoor Security Camera. Motion Detection. 2-Way Audio. WiFi Camera Home Camera Compatible with Alexa,S$82.89,https://m.media-amazon.com/images/I/61E7II5XyjL._AC_UL320_.jpg
Kitchen Storage Rack Multifunction Portable Season AmazonBasics Plastic Drying Rack with Mat. Black kitchen and bathroom storage rack， (Color : Black. Size : 2 Mats),S$87.03,https://m.media-amazon.com/images/I/71LQ5v14KkL._AC_UL320_.jpg
Daily Electrolyte Drink Mix – Original Variety. 20 Stickpacks – Hydration Packets with 6 Electrolytes & Minerals – Keto Friendly. Vegan. Non- GMO & Sugar-Free Electrolyte Powder,S$66.64,https://m.media-amazon.com/images/I/61TIvkcGbNL._AC_UL320_.jpg
Men's Crew T-Shirt Multipack,S$29.26,https://m.media-amazon.com/images/I/710o0VupScL._AC_UL320_.jpg
Power Sheets Laundry Detergent. Fresh Linen 50ct. up to 100 Small Loads (Packaging may vary),S$28.13,https://m.media-amazon.com/images/I/81CNVgMyipL._AC_UL320_.jpg
6-Piece Pre-Cut Activated Charcoal Replacement Filters Compatible with AmazonBasics Hooded Covered Cat Litter Box – Eliminate up to 99% of Odors to Keep Your Home Fresh,S$98.24,https://m.media-amazon.com/images/I/91D+HTmkHRL._AC_UL320_.jpg
8K HDMI Cable 3M HDMI 2.1 Cable 48Gbps Aluminum Case 8K@60Hz 4K@240Hz Support DynamicHDR HDCP eARC 3D Ethernet ARC Compatible with PS5/PS4 Xbox Series HDTV Projector,S$25.99,https://m.media-amazon.com/images/I/71AhyjBBYAL._AC_UL320_.jpg
SolidSuit Case Compatible with Magsafe for [iPhone 15] | Shock Absorbent Slim Design Protective Cover with Premium Matte Finish 3.5M / 11ft Drop Protection - Parakeet Green,S$59.90,https://m.media-amazon.com/images/I/61369INepPL._AC_UL320_.jpg
Black RGB Mouse pad Small with 4mm LED Excovip Soft Glowing Mouse Mat Gaming Non-Slip Rubber Base Mousepad for Laptop Computer Work PC Games 9386,S$12.99,https://m.media-amazon.com/images/I/71N7o2fzBvL._AC_UL320_.jpg
Extra Large Speed Type Extended Gaming Mouse Pad with Stitched Embroidery Edges.Non-Slip Rubber Base Mousepad Desk Mat Keyboard Pad for Laptop/Computer Office PC & Home (Black.1200x600x5mm),S$59.80,https://m.media-amazon.com/images/I/81cgUrQwztL._AC_UL320_.jpg
6 ft CAT6 Cable - Slim CAT6 Patch Cord - Gray - Snagless RJ45 Connectors - Gigabit Ethernet Cable - 28 AWG - LSZH (N6PAT6GSR) (N6PAT6GRS),S$39.10,https://m.media-amazon.com/images/I/7123Dw4mKxL._AC_UL320_.jpg
Tall Kitchen Handle-Tie® Trash Bags - 13 Gallon White Trash Bag - 50 Count (Package May Vary),S$27.42,https://m.media-amazon.com/images/I/71S38j-4joL._AC_UL320_.jpg
Heavy Duty Plastic Hangers 50 Pack with Non-Slip Design.0.2 Inches Thick.360°Swivel Hook Space Saving Organizer for Bedroom Closet.Shirts.Pants.Strong Enough for Coat (Grey- S Shaped),S$62.26,https://m.media-amazon.com/images/I/81UJIatsTvL._AC_UL320_.jpg
Laundry Detergent Sheet (65 Sheets).Fresh Linen Scent.Powerful Clean & Zero Waste.CLEARALIF Liquid-less Detergent Strips Eco Friendly & Hypoallergenic & Plastic Free,S$61.24,https://m.media-amazon.com/images/I/71yNk8wDo0L._AC_UL320_.jpg
Womens Short Sleeve Summer T Shirts Scoop Neck Casual Stretch Tee Tops,S$35.69,https://m.media-amazon.com/images/I/61ITPXMcXhL._AC_UL320_.jpg
Hair Growth Supplements for Women. Clinically Proven Hair Growth Product with Proprietary Collagen Complex. Results of Thicker. Fuller Hair Nourish Hair Loss. 180 Tablets - 3 Month Supply,S$101.16,https://m.media-amazon.com/images/I/718IzDIWrNL._AC_UL320_.jpg
Notebook: Amazon basic 100 pages Anime cover notebook,S$17.76,https://m.media-amazon.com/images/I/71ChzY91kBL._AC_UL320_.jpg
Mach3 Men’s Razor Blade Refills. 15 Count (Packaging May Vary). Mens Razors/Blades,S$44.93,https://m.media-amazon.com/images/I/91QhJMV6LHL._AC_UL320_.jpg
Cleaning & Disinfecting Solution with Lens Case. Twin Pack. 12 Fl Oz,Null,https://m.media-amazon.com/images/I/81qnbSE6StL._AC_UL320_.jpg
CopperTop AAA Alkaline Batteries - Long Lasting. All-Purpose Triple A Battery for Household and Business - 24 Count,S$28.75,https://m.media-amazon.com/images/I/51R2z-FyyLL._AC_UL320_.jpg
100 Pack Magic Sponge Eraser Extra Thick and Long Lasting Melamine Cleaning Sponges in Bulk - Multi Surface Power Scrubber Foam Cleaning Pads - Bathtub. Floor. Baseboard. Bathroom. Wall Cleaner,S$68.66,https://m.media-amazon.com/images/I/41XsQVVt12L._AC_UL320_.jpg
